source,model_tag,trajectory_index,year,productivity
Empirical,empirical,166,0,6.1309007630139
Empirical,empirical,166,1,2.9143644012641174
Empirical,empirical,166,2,2.7745235004123305
Empirical,empirical,166,3,5.2896183066574505
Empirical,empirical,166,4,12.621208152189263
Empirical,empirical,166,5,2.4119594510180393
Empirical,empirical,166,6,0.0
Empirical,empirical,166,7,4.418594194898812
Empirical,empirical,166,8,2.117645581083474
Empirical,empirical,166,9,8.12685928864453
Empirical,empirical,166,10,0.0
Empirical,empirical,166,11,0.0
Empirical,empirical,166,12,0.0
Empirical,empirical,166,13,0.0
Empirical,empirical,166,14,5.0184284035381586
Empirical,empirical,166,15,3.2254690051933212
Empirical,empirical,166,16,1.5558980742087662
Empirical,empirical,166,17,7.510338103682923
Empirical,empirical,166,18,0.0
Empirical,empirical,166,19,0.0
Empirical,empirical,166,20,0.0
Empirical,empirical,491,0,9.19635114452085
Empirical,empirical,491,1,8.743093203792352
Empirical,empirical,491,2,0.0
Empirical,empirical,491,3,13.224045766643629
Empirical,empirical,491,4,15.145449782627118
Empirical,empirical,491,5,16.883716157126276
Empirical,empirical,491,6,20.764821173847128
Empirical,empirical,491,7,11.04648548724703
Empirical,empirical,491,8,12.705873486500842
Empirical,empirical,491,9,14.222003755127927
Empirical,empirical,491,10,7.80411398271051
Empirical,empirical,491,11,7.500638964126613
Empirical,empirical,491,12,5.411175082295543
Empirical,empirical,491,13,17.36378900670343
Empirical,empirical,491,14,25.09214201769079
Empirical,empirical,491,15,22.57828303635325
Empirical,empirical,491,16,17.11487881629643
Empirical,empirical,491,17,12.016540965892675
Empirical,empirical,491,18,24.667533797037105
Empirical,empirical,491,19,25.246732715503494
Empirical,empirical,491,20,24.418542599354343
Empirical,empirical,216,0,0.0
Empirical,empirical,216,1,3.2290636986567964
Empirical,empirical,216,2,3.06545038150695
Empirical,empirical,216,3,8.743093203792352
Empirical,empirical,216,4,2.7745235004123305
Empirical,empirical,216,5,7.934427459986176
Empirical,empirical,216,6,12.621208152189263
Empirical,empirical,216,7,16.883716157126276
Empirical,empirical,216,8,9.228809410598725
Empirical,empirical,216,9,15.465079682145843
Empirical,empirical,216,10,10.58822790541737
Empirical,empirical,216,11,10.158574110805665
Empirical,empirical,216,12,5.853085487032883
Empirical,empirical,216,13,1.8751597410316532
Empirical,empirical,216,14,5.411175082295543
Empirical,empirical,216,15,6.945515602681373
Empirical,empirical,216,16,6.691237871384211
Empirical,empirical,216,17,11.289141518176624
Empirical,empirical,216,18,1.5558980742087662
Empirical,empirical,216,19,7.510338103682923
Empirical,empirical,216,20,11.608251198605696
Empirical,empirical,453,0,5.048483260875706
Empirical,empirical,453,1,0.0
Empirical,empirical,453,2,2.3072023526496808
Empirical,empirical,453,3,2.209297097449406
Empirical,empirical,453,4,10.58822790541737
Empirical,empirical,453,5,8.12685928864453
Empirical,empirical,453,6,9.755142478388136
Empirical,empirical,453,7,11.25095844618992
Empirical,empirical,453,8,10.822350164591086
Empirical,empirical,453,9,12.154652304692402
Empirical,empirical,453,10,11.70966627492237
Empirical,empirical,453,11,6.4509380103866425
Empirical,empirical,453,12,1.5558980742087662
Empirical,empirical,453,13,1.5020676207365846
Empirical,empirical,453,14,4.353094199477136
Empirical,empirical,453,15,0.0
Empirical,empirical,453,16,4.06975709989239
Empirical,empirical,453,17,3.938514406934989
Empirical,empirical,453,18,1.2712054112467233
Empirical,empirical,453,19,4.9262058302767695
Empirical,empirical,453,20,3.581253346452926
Empirical,empirical,174,0,0.0
Empirical,empirical,174,1,12.059797255090196
Empirical,empirical,174,2,6.921607057949043
Empirical,empirical,174,3,6.6278912923482185
Empirical,empirical,174,4,8.470582324333895
Empirical,empirical,174,5,2.0317148221611325
Empirical,empirical,174,6,9.755142478388136
Empirical,empirical,174,7,1.8751597410316532
Empirical,empirical,174,8,5.411175082295543
Empirical,empirical,174,9,15.62741010603309
Empirical,empirical,174,10,3.3456189356921056
Empirical,empirical,174,11,4.838203507789982
Empirical,empirical,174,12,6.223592296835065
Empirical,empirical,174,13,16.52274382810243
Empirical,empirical,174,14,24.667533797037105
Empirical,empirical,174,15,12.623366357751747
Empirical,empirical,174,16,8.13951419978478
Empirical,empirical,174,17,0.0
Empirical,empirical,174,18,7.62723246748034
Empirical,empirical,174,19,8.620860202984346
Empirical,empirical,174,20,9.55000892387447
Empirical,empirical,498,0,3.06545038150695
Empirical,empirical,498,1,2.9143644012641174
Empirical,empirical,498,2,2.7745235004123305
Empirical,empirical,498,3,15.868854919972351
Empirical,empirical,498,4,10.096966521751412
Empirical,empirical,498,5,9.647837804072156
Empirical,empirical,498,6,18.45761882119745
Empirical,empirical,498,7,11.04648548724703
Empirical,empirical,498,8,8.470582324333895
Empirical,empirical,498,9,12.190288932966794
Empirical,empirical,498,10,11.706170974065763
Empirical,empirical,498,11,15.001277928253224
Empirical,empirical,498,12,9.018625137159235
Empirical,empirical,498,13,13.891031205362744
Empirical,empirical,498,14,23.41933254984474
Empirical,empirical,498,15,8.063672512983302
Empirical,empirical,498,16,9.335388445252596
Empirical,empirical,498,17,9.012405724419509
Empirical,empirical,498,18,8.706188398954271
Empirical,empirical,498,19,14.025962619724163
Empirical,empirical,498,20,6.782928499820651
Empirical,empirical,375,0,0.0
Empirical,empirical,375,1,0.0
Empirical,empirical,375,2,0.0
Empirical,empirical,375,3,9.19635114452085
Empirical,empirical,375,4,0.0
Empirical,empirical,375,5,0.0
Empirical,empirical,375,6,0.0
Empirical,empirical,375,7,0.0
Empirical,empirical,375,8,2.4119594510180393
Empirical,empirical,375,9,0.0
Empirical,empirical,375,10,2.209297097449406
Empirical,empirical,375,11,4.235291162166948
Empirical,empirical,375,12,4.063429644322265
Empirical,empirical,375,13,3.902056991355255
Empirical,empirical,375,14,15.001277928253224
Empirical,empirical,375,15,1.8037250274318477
Empirical,empirical,375,16,0.0
Empirical,empirical,375,17,0.0
Empirical,empirical,375,18,1.6127345025966606
Empirical,empirical,375,19,6.223592296835065
Empirical,empirical,375,20,3.0041352414731692
Empirical,empirical,63,0,12.916254794627186
Empirical,empirical,63,1,9.19635114452085
Empirical,empirical,63,2,23.31491521011294
Empirical,empirical,63,3,13.872617502061653
Empirical,empirical,63,4,10.5792366133149
Empirical,empirical,63,5,12.621208152189263
Empirical,empirical,63,6,4.823918902036079
Empirical,empirical,63,7,20.764821173847128
Empirical,empirical,63,8,13.255782584696435
Empirical,empirical,63,9,10.58822790541737
Empirical,empirical,63,10,10.158574110805665
Empirical,empirical,63,11,15.60822796542102
Empirical,empirical,63,12,28.1273961154748
Empirical,empirical,63,13,10.822350164591086
Empirical,empirical,63,14,10.41827340402206
Empirical,empirical,63,15,3.3456189356921056
Empirical,empirical,63,16,12.901876020773283
Empirical,empirical,63,17,10.891286519461364
Empirical,empirical,63,18,7.510338103682923
Empirical,empirical,63,19,13.059282598431407
Empirical,empirical,63,20,19.636347667613833
Empirical,empirical,395,0,13.255782584696435
Empirical,empirical,395,1,16.94116464866779
Empirical,empirical,395,2,18.28543339945019
Empirical,empirical,395,3,17.55925646109865
Empirical,empirical,395,4,24.37707663341149
Empirical,empirical,395,5,28.85960043890956
Empirical,empirical,395,6,31.25482021206618
Empirical,empirical,395,7,30.11057042122895
Empirical,empirical,395,8,24.19101753894991
Empirical,empirical,395,9,28.006165335757792
Empirical,empirical,395,10,24.03308193178535
Empirical,empirical,395,11,30.47165939633995
Empirical,empirical,395,12,25.246732715503494
Empirical,empirical,395,13,29.844885399210863
Empirical,empirical,395,14,28.88243898418991
Empirical,empirical,395,15,17.796875757454124
Empirical,empirical,395,16,22.167926236245464
Empirical,empirical,395,17,4.775004461937235
Empirical,empirical,395,18,4.630756362917854
Empirical,empirical,395,19,10.109331223900826
Empirical,empirical,395,20,1.0903626678257634
Empirical,empirical,159,0,0.0
Empirical,empirical,159,1,2.209297097449406
Empirical,empirical,159,2,8.470582324333895
Empirical,empirical,159,3,8.12685928864453
Empirical,empirical,159,4,3.902056991355255
Empirical,empirical,159,5,7.500638964126613
Empirical,empirical,159,6,3.607450054863695
Empirical,empirical,159,7,0.0
Empirical,empirical,159,8,1.6728094678460528
Empirical,empirical,159,9,1.6127345025966606
Empirical,empirical,159,10,6.223592296835065
Empirical,empirical,159,11,3.0041352414731692
Empirical,empirical,159,12,0.0
Empirical,empirical,159,13,8.4155775718345
Empirical,empirical,159,14,5.426342799856521
Empirical,empirical,159,15,10.502705085159969
Empirical,empirical,159,16,2.5424108224934465
Empirical,empirical,159,17,1.2315514575691924
Empirical,empirical,159,18,5.968755577421544
Empirical,empirical,159,19,3.4730672721883904
Empirical,empirical,159,20,0.0
Empirical,empirical,97,0,6.1309007630139
Empirical,empirical,97,1,2.9143644012641174
Empirical,empirical,97,2,8.323570501236992
Empirical,empirical,97,3,7.934427459986176
Empirical,empirical,97,4,12.621208152189263
Empirical,empirical,97,5,12.059797255090196
Empirical,empirical,97,6,16.150416468547764
Empirical,empirical,97,7,8.837188389797625
Empirical,empirical,97,8,10.58822790541737
Empirical,empirical,97,9,6.095144466483397
Empirical,empirical,97,10,11.706170974065763
Empirical,empirical,97,11,9.375798705158266
Empirical,empirical,97,12,0.0
Empirical,empirical,97,13,6.945515602681373
Empirical,empirical,97,14,10.036856807076315
Empirical,empirical,97,15,9.676407015579963
Empirical,empirical,97,16,4.667694222626299
Empirical,empirical,97,17,1.5020676207365846
Empirical,empirical,97,18,4.353094199477136
Empirical,empirical,97,19,9.818173833806917
Empirical,empirical,97,20,5.426342799856521
Empirical,empirical,421,0,2.7745235004123305
Empirical,empirical,421,1,13.224045766643629
Empirical,empirical,421,2,10.096966521751412
Empirical,empirical,421,3,12.059797255090196
Empirical,empirical,421,4,18.45761882119745
Empirical,empirical,421,5,8.837188389797625
Empirical,empirical,421,6,10.58822790541737
Empirical,empirical,421,7,30.47572233241699
Empirical,empirical,421,8,5.853085487032883
Empirical,empirical,421,9,7.500638964126613
Empirical,empirical,421,10,3.607450054863695
Empirical,empirical,421,11,8.681894503351716
Empirical,empirical,421,12,5.0184284035381586
Empirical,empirical,421,13,20.96554853375659
Empirical,empirical,421,14,14.003082667878896
Empirical,empirical,421,15,12.016540965892675
Empirical,empirical,421,16,10.157219798779982
Empirical,empirical,421,17,4.20778878591725
Empirical,empirical,421,18,5.426342799856521
Empirical,empirical,421,19,7.877028813869977
Empirical,empirical,421,20,10.169643289973786
Empirical,empirical,321,0,7.235878353054118
